generation,best_fitness,avg_fitness,worst_fitness
0,41.0,34.75,25.0
1,41.0,36.52,30.0
2,41.0,37.43,31.0
3,41.0,38.04,32.0
4,42.0,38.68,32.0
5,42.0,39.21,34.0
6,42.0,39.12,34.0
7,42.0,39.32,35.0
8,43.0,39.5,36.0
9,43.0,39.79,36.0
10,43.0,39.93,34.0
11,43.0,40.32,35.0
12,43.0,40.74,35.0
13,43.0,41.52,37.0
14,44.0,42.23,38.0
15,44.0,42.75,39.0
16,44.0,42.91,40.0
17,44.0,43.07,41.0
18,44.0,43.26,41.0
19,44.0,43.7,41.0
20,44.0,43.93,41.0
21,44.0,43.86,40.0
22,44.0,43.9,40.0
23,44.0,43.95,40.0
24,44.0,43.87,41.0
25,45.0,43.9,40.0
