generation,best_fitness,avg_fitness,worst_fitness
0,41.0,34.8,26.0
1,41.0,36.04,28.0
2,41.0,36.94,29.0
3,41.0,37.97,31.0
4,43.0,38.49,32.0
5,43.0,38.87,30.0
6,43.0,39.38,35.0
7,43.0,39.95,36.0
8,43.0,40.19,33.0
9,43.0,40.44,36.0
10,43.0,40.59,37.0
11,43.0,41.0,35.0
12,43.0,41.27,35.0
13,43.0,41.89,36.0
14,43.0,42.22,37.0
15,43.0,42.54,38.0
16,43.0,42.66,37.0
17,43.0,42.8,40.0
18,43.0,42.84,41.0
19,43.0,42.78,39.0
20,43.0,42.79,39.0
21,43.0,42.75,39.0
22,44.0,42.74,39.0
23,44.0,42.75,36.0
24,44.0,42.97,40.0
25,44.0,43.04,39.0
26,44.0,43.61,41.0
27,44.0,43.88,40.0
28,44.0,43.77,40.0
29,44.0,43.77,40.0
30,44.0,43.84,41.0
31,44.0,43.86,40.0
32,44.0,43.78,41.0
33,44.0,43.93,40.0
34,44.0,43.82,41.0
35,44.0,43.93,40.0
36,44.0,43.89,40.0
37,44.0,43.85,40.0
38,44.0,43.93,41.0
39,44.0,43.88,40.0
40,44.0,43.82,40.0
41,44.0,43.89,41.0
42,44.0,43.87,42.0
43,44.0,43.94,40.0
44,44.0,43.82,40.0
45,44.0,43.89,40.0
46,44.0,43.89,41.0
47,44.0,43.92,40.0
48,44.0,43.87,40.0
49,44.0,43.85,40.0
50,44.0,43.82,40.0
51,44.0,43.82,40.0
52,44.0,43.84,40.0
53,44.0,43.87,41.0
54,44.0,43.91,41.0
55,44.0,43.97,41.0
56,44.0,43.96,42.0
57,44.0,44.0,44.0
58,44.0,43.81,41.0
59,44.0,43.97,41.0
60,44.0,43.96,40.0
61,44.0,43.98,42.0
62,44.0,43.9,40.0
63,44.0,43.83,40.0
64,44.0,43.91,41.0
65,44.0,43.85,40.0
66,44.0,43.9,40.0
67,44.0,43.9,41.0
68,44.0,43.87,40.0
69,44.0,43.7,40.0
70,45.0,43.96,41.0
