generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.31,26.0
1,40.0,35.98,30.0
2,41.0,36.78,31.0
3,42.0,37.81,31.0
4,42.0,38.46,30.0
5,42.0,38.66,32.0
6,42.0,38.94,34.0
7,42.0,38.96,33.0
8,42.0,39.53,35.0
9,42.0,39.82,36.0
10,42.0,40.28,36.0
11,42.0,40.6,37.0
12,42.0,41.23,35.0
13,42.0,41.54,37.0
14,42.0,41.65,38.0
15,43.0,41.76,38.0
16,43.0,41.89,39.0
17,43.0,41.76,38.0
18,43.0,42.0,39.0
19,43.0,41.99,38.0
20,43.0,42.17,38.0
21,43.0,42.67,38.0
22,43.0,42.93,40.0
23,43.0,42.87,40.0
24,43.0,42.94,38.0
25,43.0,42.87,39.0
26,43.0,42.86,41.0
27,43.0,42.87,38.0
28,43.0,42.98,42.0
29,43.0,42.94,40.0
30,43.0,42.93,41.0
31,43.0,42.87,39.0
32,43.0,42.81,39.0
33,43.0,42.84,39.0
34,43.0,42.81,38.0
35,43.0,42.86,39.0
36,43.0,42.94,39.0
37,43.0,42.91,39.0
38,43.0,42.79,38.0
39,43.0,42.84,39.0
40,43.0,42.95,41.0
41,43.0,42.9,40.0
42,43.0,42.91,40.0
43,43.0,42.82,38.0
44,43.0,42.93,40.0
45,43.0,42.8,40.0
46,43.0,42.79,39.0
47,43.0,42.8,38.0
48,43.0,42.84,39.0
49,43.0,42.82,38.0
50,43.0,42.94,41.0
51,43.0,42.94,41.0
52,43.0,43.0,43.0
53,43.0,42.82,40.0
54,43.0,42.86,39.0
55,43.0,42.87,39.0
56,43.0,42.88,39.0
57,43.0,42.94,40.0
58,43.0,42.96,41.0
59,43.0,42.98,41.0
60,43.0,42.92,40.0
61,43.0,42.95,41.0
62,43.0,42.91,40.0
63,43.0,42.89,39.0
64,43.0,42.95,40.0
65,43.0,42.96,39.0
66,43.0,42.94,41.0
67,43.0,42.76,39.0
68,43.0,42.97,41.0
69,43.0,42.82,39.0
70,43.0,42.93,39.0
71,43.0,42.72,38.0
72,43.0,42.95,41.0
73,43.0,42.8,38.0
74,43.0,42.9,40.0
75,43.0,42.82,40.0
76,43.0,42.95,39.0
77,43.0,42.8,39.0
78,43.0,42.98,41.0
79,43.0,42.83,39.0
80,43.0,42.95,41.0
81,43.0,42.91,39.0
82,43.0,42.93,41.0
83,43.0,42.91,39.0
84,43.0,42.93,39.0
85,43.0,42.85,39.0
86,43.0,42.86,39.0
87,43.0,42.79,39.0
88,43.0,42.88,39.0
89,43.0,42.93,41.0
90,43.0,42.89,41.0
91,43.0,42.82,39.0
92,43.0,43.0,43.0
93,43.0,42.96,41.0
94,43.0,42.95,41.0
95,43.0,42.82,39.0
96,43.0,42.76,39.0
97,43.0,42.93,41.0
98,43.0,42.8,38.0
99,43.0,42.89,38.0
100,43.0,42.95,40.0
101,43.0,42.86,38.0
102,43.0,42.93,40.0
103,43.0,42.96,40.0
104,43.0,42.97,41.0
105,43.0,42.87,39.0
106,43.0,42.85,39.0
107,43.0,42.92,40.0
108,43.0,42.79,38.0
109,43.0,42.74,38.0
110,43.0,42.9,40.0
111,43.0,42.91,39.0
112,43.0,42.87,38.0
113,43.0,42.97,41.0
114,43.0,42.97,41.0
115,43.0,42.94,39.0
116,43.0,42.87,38.0
117,43.0,42.91,41.0
118,43.0,42.76,39.0
119,43.0,42.84,39.0
120,43.0,42.88,39.0
121,43.0,42.8,38.0
122,43.0,42.93,39.0
123,43.0,42.96,41.0
124,43.0,42.84,39.0
125,43.0,42.94,39.0
126,43.0,42.92,40.0
127,43.0,42.83,39.0
128,43.0,42.92,40.0
129,43.0,42.89,40.0
130,43.0,42.89,39.0
131,43.0,42.88,39.0
132,43.0,42.89,40.0
133,43.0,42.87,39.0
134,43.0,42.94,39.0
135,43.0,42.98,41.0
136,43.0,42.94,40.0
137,43.0,42.91,40.0
138,43.0,42.93,40.0
139,43.0,42.83,39.0
140,43.0,42.99,42.0
141,43.0,42.86,39.0
142,43.0,42.88,38.0
143,43.0,42.86,39.0
144,43.0,42.9,39.0
145,43.0,42.97,41.0
146,43.0,42.88,40.0
147,43.0,42.91,40.0
148,43.0,43.0,43.0
149,43.0,42.88,40.0
150,43.0,42.83,39.0
151,43.0,42.97,40.0
152,43.0,42.93,39.0
153,43.0,42.85,40.0
154,43.0,42.91,40.0
155,43.0,42.83,38.0
156,43.0,42.87,38.0
157,43.0,42.83,38.0
158,43.0,42.89,40.0
159,43.0,42.97,41.0
160,43.0,42.9,39.0
161,43.0,42.94,40.0
162,43.0,42.91,40.0
163,43.0,42.87,39.0
164,43.0,42.97,40.0
165,43.0,42.9,40.0
166,43.0,42.88,39.0
167,43.0,42.95,41.0
168,43.0,42.84,39.0
169,43.0,42.88,39.0
170,43.0,42.92,40.0
171,43.0,42.94,40.0
172,43.0,42.91,41.0
173,43.0,42.8,39.0
174,43.0,42.82,38.0
175,43.0,42.91,40.0
176,43.0,42.93,41.0
177,43.0,42.87,40.0
178,43.0,42.97,41.0
179,43.0,42.9,40.0
180,43.0,42.81,39.0
181,43.0,42.91,39.0
182,43.0,42.91,41.0
183,43.0,42.82,38.0
184,43.0,42.84,39.0
185,43.0,42.93,40.0
186,43.0,42.96,41.0
187,43.0,42.89,40.0
188,43.0,42.89,39.0
189,43.0,42.94,41.0
190,43.0,42.85,39.0
191,43.0,42.95,41.0
192,43.0,42.88,40.0
193,43.0,42.84,40.0
194,43.0,42.96,41.0
195,43.0,42.83,39.0
196,43.0,42.95,40.0
197,43.0,42.86,40.0
198,43.0,42.98,41.0
199,43.0,42.94,41.0
200,43.0,42.95,41.0
201,43.0,42.88,41.0
202,43.0,42.89,39.0
203,43.0,42.87,39.0
204,43.0,42.9,39.0
205,43.0,42.95,41.0
