generation,best_fitness,avg_fitness,worst_fitness
0,41.0,35.04,27.0
1,41.0,35.18,28.0
2,41.0,35.41,30.0
3,41.0,35.06,26.0
4,41.0,34.9,28.0
5,41.0,35.73,28.0
6,41.0,35.25,26.0
7,41.0,35.88,27.0
8,41.0,35.86,28.0
9,41.0,36.17,26.0
10,41.0,35.89,26.0
11,41.0,35.74,28.0
12,41.0,35.82,30.0
13,41.0,35.94,28.0
14,41.0,35.95,27.0
15,41.0,35.85,31.0
16,41.0,35.73,29.0
17,41.0,36.17,30.0
18,41.0,36.4,27.0
19,41.0,36.33,27.0
20,41.0,36.3,27.0
21,41.0,36.2,30.0
22,42.0,35.93,30.0
23,42.0,36.2,26.0
24,42.0,36.52,28.0
25,42.0,36.66,27.0
26,42.0,36.74,26.0
27,42.0,36.42,25.0
28,42.0,36.66,30.0
29,42.0,36.57,29.0
30,42.0,36.33,29.0
31,42.0,36.3,29.0
32,42.0,36.5,29.0
33,42.0,36.4,28.0
34,42.0,36.02,25.0
35,42.0,36.47,25.0
36,42.0,36.48,29.0
37,42.0,36.55,29.0
38,42.0,36.47,30.0
39,42.0,36.4,29.0
40,42.0,36.52,31.0
41,42.0,36.09,29.0
42,42.0,36.33,30.0
43,42.0,36.45,30.0
44,42.0,36.37,26.0
45,42.0,36.64,31.0
46,42.0,36.23,29.0
47,42.0,36.04,30.0
48,42.0,36.72,30.0
49,42.0,36.85,30.0
50,42.0,37.01,31.0
51,42.0,37.14,31.0
52,42.0,37.18,31.0
53,42.0,36.93,30.0
54,42.0,37.3,31.0
55,42.0,37.31,31.0
56,42.0,37.73,31.0
57,42.0,37.76,31.0
58,42.0,37.75,32.0
59,42.0,37.63,31.0
60,42.0,37.56,30.0
61,42.0,37.24,30.0
62,42.0,37.51,32.0
63,42.0,37.64,30.0
64,42.0,37.66,30.0
65,42.0,37.43,32.0
66,42.0,37.25,31.0
67,42.0,37.22,26.0
68,42.0,37.53,31.0
69,42.0,37.58,28.0
70,42.0,38.4,32.0
71,42.0,38.18,34.0
72,42.0,38.29,32.0
73,42.0,38.15,32.0
74,42.0,38.15,29.0
75,42.0,38.19,32.0
76,42.0,37.93,32.0
77,42.0,38.14,32.0
78,42.0,38.21,34.0
