generation,best_fitness,avg_fitness,worst_fitness
0,41.0,34.59,24.0
1,41.0,34.78,26.0
2,41.0,34.74,25.0
3,41.0,35.34,28.0
4,41.0,35.17,25.0
5,41.0,35.83,28.0
6,43.0,36.35,28.0
7,43.0,35.83,29.0
8,43.0,36.03,29.0
9,43.0,36.26,28.0
10,43.0,36.76,30.0
11,43.0,37.08,31.0
12,43.0,36.71,31.0
13,43.0,36.88,31.0
14,44.0,37.28,31.0
15,44.0,37.7,30.0
16,44.0,37.23,30.0
17,44.0,37.77,31.0
18,44.0,37.5,31.0
19,44.0,37.53,28.0
20,44.0,37.64,31.0
21,44.0,38.02,32.0
22,44.0,37.85,31.0
23,44.0,38.08,27.0
24,44.0,38.0,27.0
25,44.0,38.33,32.0
26,44.0,38.4,28.0
27,44.0,38.38,33.0
28,44.0,38.63,32.0
29,44.0,38.63,34.0
30,44.0,38.58,33.0
31,44.0,38.67,33.0
32,44.0,38.8,32.0
33,44.0,38.86,32.0
34,44.0,39.1,30.0
35,44.0,39.21,33.0
36,44.0,38.93,32.0
37,44.0,38.82,30.0
38,44.0,39.57,34.0
39,44.0,40.07,34.0
40,44.0,39.98,34.0
41,44.0,40.12,33.0
42,44.0,40.07,35.0
43,44.0,40.48,36.0
44,44.0,40.13,34.0
45,44.0,40.15,34.0
46,44.0,40.51,35.0
47,44.0,40.43,35.0
48,44.0,41.05,35.0
49,44.0,40.99,34.0
50,44.0,41.1,29.0
51,44.0,40.85,28.0
52,44.0,41.01,30.0
53,44.0,41.1,34.0
54,44.0,41.05,29.0
55,44.0,40.96,29.0
56,44.0,40.91,32.0
57,44.0,40.34,32.0
58,44.0,40.57,33.0
59,44.0,40.54,35.0
60,44.0,40.79,34.0
61,44.0,40.9,34.0
62,44.0,41.46,32.0
63,44.0,41.33,36.0
64,44.0,41.09,34.0
65,44.0,41.01,34.0
66,44.0,41.11,34.0
67,44.0,41.29,35.0
68,44.0,41.43,34.0
69,44.0,41.42,36.0
70,44.0,41.72,35.0
71,44.0,41.89,34.0
72,45.0,41.79,35.0
