generation,best_fitness,avg_fitness,worst_fitness
0,41.0,34.61,25.0
1,42.0,36.34,29.0
2,42.0,36.67,27.0
3,42.0,37.61,28.0
4,42.0,38.42,31.0
5,42.0,39.32,32.0
6,42.0,40.48,35.0
7,43.0,41.42,38.0
8,43.0,41.53,37.0
9,43.0,41.75,38.0
10,43.0,41.93,38.0
11,43.0,41.95,39.0
12,43.0,42.13,38.0
13,43.0,42.11,38.0
14,43.0,41.98,38.0
15,43.0,41.97,38.0
16,43.0,42.42,39.0
17,43.0,42.4,39.0
18,43.0,42.73,39.0
19,43.0,42.72,39.0
20,43.0,42.84,40.0
21,43.0,42.89,39.0
22,43.0,42.93,41.0
23,43.0,42.94,39.0
24,43.0,42.88,38.0
25,43.0,42.84,40.0
26,43.0,42.83,39.0
27,43.0,42.88,39.0
28,43.0,42.84,40.0
29,43.0,42.96,40.0
30,43.0,42.9,40.0
31,43.0,42.72,39.0
32,43.0,42.86,39.0
33,43.0,42.88,39.0
34,43.0,42.83,39.0
35,43.0,42.74,40.0
36,43.0,42.8,39.0
37,43.0,42.8,39.0
38,43.0,42.87,38.0
39,43.0,42.91,39.0
40,43.0,42.84,39.0
41,43.0,43.0,43.0
42,43.0,42.87,39.0
43,43.0,42.91,40.0
44,43.0,42.83,40.0
45,43.0,42.78,39.0
46,43.0,42.8,40.0
47,43.0,42.85,39.0
48,43.0,42.86,39.0
49,43.0,42.85,40.0
50,43.0,42.94,41.0
51,43.0,42.87,40.0
52,43.0,42.89,40.0
53,43.0,42.89,40.0
54,43.0,42.76,39.0
55,43.0,42.96,40.0
56,43.0,42.92,40.0
57,43.0,42.8,39.0
58,43.0,42.72,39.0
59,43.0,42.92,40.0
60,43.0,42.78,39.0
61,43.0,42.74,39.0
62,43.0,42.73,38.0
63,43.0,42.95,40.0
64,43.0,42.9,40.0
65,43.0,42.96,41.0
66,43.0,42.9,39.0
67,43.0,42.76,38.0
68,43.0,42.82,40.0
69,43.0,42.91,39.0
70,43.0,42.85,39.0
71,43.0,42.87,40.0
72,43.0,42.77,38.0
73,43.0,42.81,38.0
74,43.0,42.86,39.0
75,43.0,42.92,40.0
76,43.0,42.84,38.0
77,43.0,42.95,40.0
78,43.0,42.92,39.0
79,43.0,42.94,41.0
80,43.0,42.94,40.0
81,43.0,42.81,39.0
82,43.0,42.89,40.0
83,43.0,42.7,38.0
84,43.0,42.8,39.0
85,43.0,42.69,40.0
86,43.0,42.83,39.0
87,43.0,42.76,39.0
88,43.0,42.82,39.0
89,43.0,42.92,39.0
90,43.0,42.86,38.0
91,43.0,42.74,38.0
92,43.0,42.87,39.0
93,43.0,42.67,39.0
94,43.0,42.68,38.0
95,43.0,42.76,39.0
96,43.0,42.77,39.0
97,43.0,42.84,38.0
98,43.0,42.9,40.0
99,43.0,42.83,39.0
100,43.0,42.77,39.0
