generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.84,29.0
1,41.0,35.22,26.0
2,41.0,35.44,28.0
3,41.0,35.71,29.0
4,41.0,35.49,26.0
5,41.0,35.83,24.0
6,41.0,35.88,29.0
7,43.0,36.45,28.0
8,43.0,36.89,31.0
9,43.0,37.24,29.0
10,43.0,37.27,27.0
11,43.0,36.98,28.0
12,43.0,36.39,30.0
13,43.0,36.77,30.0
14,43.0,36.91,29.0
15,43.0,37.16,28.0
16,43.0,36.83,29.0
17,43.0,37.1,32.0
18,44.0,37.31,29.0
19,44.0,37.2,32.0
20,44.0,36.93,28.0
21,44.0,36.96,30.0
22,44.0,37.11,30.0
23,44.0,36.79,31.0
24,44.0,36.86,32.0
25,44.0,36.81,26.0
26,44.0,36.71,31.0
27,44.0,36.76,32.0
28,44.0,37.24,31.0
29,44.0,37.0,28.0
30,44.0,36.96,32.0
31,44.0,36.96,29.0
32,44.0,37.0,29.0
33,44.0,37.24,27.0
34,44.0,37.74,31.0
35,44.0,37.56,31.0
36,44.0,37.35,29.0
37,44.0,37.76,27.0
38,44.0,37.64,30.0
39,44.0,38.02,27.0
40,44.0,38.51,31.0
41,44.0,38.29,33.0
42,44.0,37.92,33.0
43,44.0,37.91,31.0
44,44.0,37.74,32.0
45,44.0,37.86,32.0
46,44.0,38.06,32.0
47,44.0,37.85,30.0
48,44.0,37.83,30.0
49,44.0,37.89,29.0
50,44.0,38.01,28.0
51,44.0,38.02,29.0
52,44.0,38.54,29.0
53,44.0,39.33,32.0
54,44.0,39.34,34.0
55,44.0,39.66,34.0
56,44.0,39.72,32.0
57,44.0,39.89,31.0
58,44.0,39.84,31.0
59,44.0,39.83,31.0
60,44.0,39.55,29.0
61,44.0,39.48,30.0
62,44.0,39.49,33.0
63,44.0,39.43,32.0
64,44.0,39.63,34.0
65,44.0,39.94,33.0
66,44.0,39.88,31.0
67,44.0,40.07,31.0
68,44.0,40.32,34.0
69,44.0,40.22,31.0
70,44.0,40.38,35.0
71,44.0,40.61,35.0
72,44.0,40.86,34.0
73,44.0,40.98,37.0
74,44.0,40.97,34.0
75,44.0,41.06,33.0
76,44.0,40.93,35.0
77,44.0,40.67,33.0
78,44.0,40.91,35.0
79,44.0,40.96,35.0
80,44.0,41.04,34.0
81,44.0,41.07,36.0
82,44.0,41.04,36.0
83,44.0,41.14,35.0
84,44.0,41.08,35.0
85,44.0,41.14,35.0
86,44.0,40.92,33.0
87,44.0,40.98,34.0
88,44.0,41.58,37.0
89,44.0,41.69,37.0
90,44.0,41.73,35.0
91,44.0,41.63,36.0
92,44.0,41.67,37.0
93,44.0,41.37,34.0
94,44.0,41.28,34.0
95,44.0,41.76,36.0
96,44.0,41.56,35.0
97,44.0,41.42,35.0
98,44.0,41.32,36.0
99,44.0,41.16,34.0
100,44.0,41.21,34.0
101,44.0,41.27,36.0
102,44.0,41.37,35.0
103,44.0,41.41,35.0
104,44.0,41.07,35.0
105,44.0,41.35,35.0
106,44.0,41.22,36.0
107,44.0,41.3,33.0
108,44.0,41.09,34.0
109,44.0,40.99,34.0
110,44.0,41.02,35.0
111,44.0,40.95,35.0
112,44.0,40.5,35.0
113,44.0,41.18,35.0
114,44.0,41.51,34.0
115,44.0,41.61,35.0
116,44.0,41.62,35.0
117,44.0,41.45,35.0
118,44.0,41.85,37.0
119,44.0,41.83,37.0
120,44.0,41.89,37.0
121,44.0,41.79,37.0
122,44.0,41.67,35.0
123,44.0,42.07,38.0
124,44.0,41.81,36.0
125,44.0,41.91,36.0
126,44.0,41.5,34.0
127,44.0,41.43,36.0
128,44.0,41.57,37.0
129,44.0,41.75,37.0
130,44.0,41.77,37.0
131,44.0,41.92,37.0
132,44.0,41.88,37.0
133,44.0,42.04,38.0
134,44.0,42.0,37.0
135,44.0,42.34,38.0
136,44.0,42.5,38.0
137,44.0,42.55,39.0
138,44.0,42.42,38.0
139,44.0,42.21,37.0
140,44.0,42.38,38.0
141,44.0,42.46,36.0
142,44.0,42.35,38.0
143,44.0,42.47,37.0
144,44.0,42.53,36.0
145,44.0,42.74,39.0
146,44.0,42.64,38.0
147,44.0,42.72,38.0
148,44.0,42.57,37.0
149,44.0,42.44,37.0
150,44.0,42.43,37.0
151,44.0,42.37,34.0
152,44.0,41.93,36.0
153,44.0,41.95,33.0
154,44.0,41.99,36.0
155,44.0,41.91,36.0
156,44.0,41.75,37.0
157,44.0,41.58,36.0
158,44.0,41.64,34.0
159,44.0,41.61,36.0
160,44.0,41.45,36.0
161,44.0,41.3,36.0
162,44.0,41.04,36.0
163,44.0,41.31,36.0
164,44.0,41.38,35.0
165,44.0,41.46,36.0
166,44.0,41.8,37.0
167,44.0,41.74,36.0
168,44.0,41.5,36.0
169,44.0,41.66,33.0
170,44.0,41.72,36.0
171,44.0,41.53,36.0
172,44.0,41.42,36.0
173,44.0,41.53,36.0
174,44.0,41.06,33.0
175,44.0,41.25,33.0
176,44.0,41.26,36.0
177,44.0,40.94,36.0
178,44.0,40.69,34.0
179,44.0,40.67,34.0
180,44.0,40.62,35.0
181,44.0,40.9,34.0
182,44.0,40.77,34.0
183,44.0,41.0,37.0
184,44.0,40.71,35.0
185,44.0,40.87,35.0
186,44.0,40.74,35.0
187,44.0,40.59,35.0
188,44.0,40.63,35.0
189,44.0,40.49,34.0
190,44.0,40.47,34.0
191,44.0,40.14,33.0
192,44.0,40.05,33.0
193,44.0,40.15,31.0
194,44.0,39.98,31.0
195,44.0,40.43,32.0
196,44.0,40.73,30.0
197,44.0,41.25,30.0
198,44.0,40.82,32.0
199,44.0,40.68,33.0
200,44.0,40.81,33.0
201,44.0,40.38,32.0
202,44.0,40.52,35.0
203,44.0,40.35,34.0
204,44.0,40.43,33.0
205,44.0,40.44,34.0
206,44.0,40.55,33.0
207,44.0,40.63,31.0
208,44.0,41.0,34.0
209,44.0,41.29,33.0
210,44.0,41.27,35.0
211,44.0,41.69,35.0
212,44.0,41.67,35.0
213,44.0,41.63,37.0
214,44.0,41.45,36.0
215,44.0,41.95,36.0
216,44.0,42.0,36.0
217,44.0,41.98,38.0
218,44.0,41.87,38.0
219,44.0,42.15,36.0
220,44.0,41.72,36.0
221,44.0,41.48,36.0
222,44.0,41.34,36.0
223,44.0,41.32,35.0
224,44.0,41.4,33.0
225,44.0,41.82,37.0
226,44.0,41.8,37.0
227,44.0,41.83,37.0
228,44.0,41.53,36.0
229,44.0,41.85,34.0
230,44.0,42.43,36.0
231,44.0,42.13,35.0
232,44.0,42.08,35.0
233,44.0,42.28,36.0
234,44.0,42.02,35.0
235,44.0,42.25,38.0
236,44.0,42.08,37.0
237,44.0,42.09,37.0
238,44.0,41.99,38.0
239,44.0,42.36,37.0
240,44.0,42.51,37.0
241,44.0,42.71,38.0
242,44.0,42.55,39.0
243,44.0,42.34,38.0
244,44.0,42.29,38.0
245,44.0,41.93,36.0
246,44.0,41.99,36.0
247,44.0,41.87,35.0
248,44.0,42.16,35.0
249,44.0,41.97,34.0
250,44.0,41.87,35.0
251,44.0,41.96,34.0
252,44.0,42.04,35.0
253,44.0,42.09,35.0
254,44.0,42.32,35.0
255,44.0,42.29,35.0
256,44.0,42.47,37.0
257,44.0,42.47,38.0
258,44.0,42.74,38.0
259,44.0,42.46,39.0
260,44.0,42.48,35.0
261,44.0,42.24,37.0
262,44.0,42.19,37.0
263,44.0,42.06,37.0
264,44.0,42.17,37.0
265,44.0,42.21,38.0
266,44.0,42.45,38.0
267,44.0,42.04,38.0
268,44.0,42.26,35.0
269,44.0,42.11,36.0
270,44.0,41.9,37.0
271,44.0,41.9,35.0
272,44.0,42.11,35.0
273,44.0,41.86,34.0
274,44.0,42.04,36.0
275,44.0,42.03,36.0
