generation,best_fitness,avg_fitness,worst_fitness
0,40.0,35.18,27.0
1,41.0,35.01,26.0
2,41.0,35.21,25.0
3,41.0,35.15,25.0
4,41.0,35.24,23.0
5,41.0,35.48,26.0
6,42.0,35.72,27.0
7,42.0,35.87,28.0
8,42.0,35.59,29.0
9,42.0,35.56,29.0
10,42.0,35.51,28.0
11,42.0,35.76,29.0
12,42.0,36.18,29.0
13,42.0,36.58,29.0
14,42.0,36.2,25.0
15,42.0,36.26,25.0
16,42.0,36.04,25.0
17,42.0,36.67,26.0
18,42.0,36.72,26.0
19,42.0,36.71,29.0
20,42.0,36.2,27.0
21,42.0,35.92,25.0
22,42.0,36.11,27.0
23,42.0,37.18,30.0
24,42.0,36.82,29.0
25,42.0,36.51,26.0
26,42.0,36.73,28.0
27,42.0,36.19,29.0
28,42.0,36.03,30.0
29,42.0,36.81,30.0
30,42.0,36.73,27.0
31,42.0,36.91,29.0
32,42.0,37.21,29.0
33,42.0,37.18,26.0
34,42.0,37.37,28.0
35,43.0,37.51,31.0
36,43.0,37.51,32.0
37,43.0,37.75,31.0
38,43.0,38.29,31.0
39,43.0,38.75,32.0
40,43.0,39.19,32.0
41,44.0,39.26,31.0
42,44.0,39.29,31.0
43,44.0,39.96,33.0
44,44.0,39.86,33.0
45,44.0,39.91,33.0
46,44.0,40.14,33.0
47,44.0,39.77,35.0
48,44.0,40.18,34.0
49,44.0,39.92,34.0
50,44.0,39.92,34.0
51,44.0,39.8,35.0
52,44.0,40.07,35.0
53,44.0,39.75,32.0
54,44.0,40.13,34.0
55,44.0,40.33,33.0
56,44.0,40.63,33.0
57,44.0,40.52,34.0
58,44.0,40.49,34.0
59,44.0,40.48,33.0
60,44.0,40.41,32.0
61,44.0,40.34,30.0
62,44.0,40.36,33.0
63,44.0,40.3,33.0
64,44.0,40.23,33.0
65,44.0,40.16,34.0
66,44.0,40.09,33.0
67,44.0,40.22,29.0
68,44.0,40.56,34.0
69,44.0,40.77,34.0
70,44.0,41.16,35.0
71,44.0,40.99,35.0
72,44.0,41.04,35.0
73,45.0,41.02,37.0
