generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.65,27.0
1,41.0,34.98,26.0
2,42.0,34.88,28.0
3,42.0,35.71,29.0
4,42.0,36.1,30.0
5,42.0,36.23,29.0
6,42.0,36.08,28.0
7,42.0,36.01,29.0
8,42.0,35.93,30.0
9,42.0,35.95,30.0
10,42.0,35.76,29.0
11,42.0,36.42,28.0
12,42.0,36.01,28.0
13,42.0,36.05,29.0
14,42.0,35.86,25.0
15,42.0,36.33,29.0
16,42.0,36.49,30.0
17,42.0,36.49,29.0
18,42.0,36.55,29.0
19,42.0,36.19,22.0
20,42.0,36.49,22.0
21,42.0,36.25,29.0
22,42.0,36.57,30.0
23,42.0,36.76,32.0
24,42.0,36.39,30.0
25,42.0,36.76,31.0
26,42.0,36.78,30.0
27,42.0,37.19,29.0
28,42.0,37.11,29.0
29,42.0,36.92,30.0
30,42.0,36.89,33.0
31,42.0,37.17,32.0
32,42.0,36.42,31.0
33,42.0,36.6,30.0
34,43.0,36.98,30.0
35,43.0,36.77,31.0
36,43.0,37.07,30.0
37,43.0,37.14,31.0
38,43.0,37.09,30.0
39,43.0,37.11,29.0
40,43.0,37.24,32.0
41,43.0,37.06,31.0
42,43.0,37.21,32.0
43,43.0,36.82,30.0
44,43.0,37.45,31.0
45,43.0,37.44,31.0
46,43.0,37.62,32.0
47,43.0,37.97,30.0
48,43.0,38.45,32.0
49,43.0,38.42,30.0
50,43.0,38.39,32.0
51,43.0,38.74,32.0
52,43.0,38.51,32.0
53,44.0,39.17,30.0
54,44.0,39.11,30.0
55,44.0,39.14,33.0
56,44.0,39.41,33.0
57,44.0,39.09,30.0
58,44.0,39.3,31.0
59,44.0,39.18,34.0
60,44.0,39.05,30.0
61,44.0,39.51,34.0
62,44.0,39.46,34.0
63,44.0,39.68,34.0
64,44.0,39.51,31.0
65,44.0,39.54,32.0
66,44.0,39.49,33.0
67,44.0,39.43,33.0
68,44.0,39.77,34.0
69,44.0,40.26,33.0
70,44.0,40.08,31.0
71,44.0,40.25,34.0
72,44.0,40.38,35.0
73,44.0,40.07,35.0
74,44.0,40.4,34.0
75,44.0,40.26,34.0
76,44.0,40.45,34.0
77,44.0,40.46,33.0
78,44.0,40.24,33.0
79,44.0,40.31,33.0
80,44.0,40.34,34.0
81,44.0,40.68,32.0
82,44.0,41.22,36.0
83,44.0,41.25,34.0
84,44.0,41.07,36.0
85,44.0,41.15,37.0
86,44.0,41.04,37.0
87,44.0,41.19,35.0
88,44.0,41.0,35.0
89,44.0,41.27,37.0
90,44.0,41.37,36.0
91,44.0,41.18,35.0
92,44.0,41.0,33.0
93,44.0,40.96,33.0
94,44.0,40.92,35.0
95,44.0,40.84,35.0
96,44.0,40.92,33.0
97,44.0,41.14,35.0
98,44.0,41.43,35.0
99,44.0,41.14,33.0
100,44.0,41.01,33.0
101,44.0,41.01,34.0
102,44.0,41.16,35.0
103,44.0,40.95,35.0
104,44.0,41.36,36.0
105,44.0,41.23,34.0
106,44.0,41.29,34.0
107,44.0,41.49,37.0
108,44.0,41.32,36.0
109,44.0,41.0,35.0
110,44.0,41.13,34.0
111,44.0,41.13,34.0
112,44.0,41.22,37.0
113,44.0,41.08,36.0
114,44.0,40.76,35.0
115,44.0,40.95,32.0
116,44.0,40.88,35.0
117,44.0,41.25,35.0
118,44.0,41.23,36.0
119,44.0,41.27,36.0
120,44.0,41.62,36.0
121,44.0,41.56,35.0
122,44.0,41.51,35.0
123,44.0,41.57,36.0
124,44.0,41.43,37.0
125,44.0,41.27,35.0
126,44.0,41.43,36.0
127,44.0,41.32,37.0
128,44.0,41.34,36.0
129,44.0,41.49,37.0
130,44.0,41.02,35.0
131,44.0,41.28,36.0
132,44.0,41.15,36.0
133,45.0,41.3,37.0
