generation,best_fitness,avg_fitness,worst_fitness
0,42.0,34.42,26.0
1,42.0,34.45,27.0
2,42.0,34.7,27.0
3,42.0,35.38,27.0
4,43.0,35.6,26.0
5,43.0,35.9,27.0
6,43.0,35.75,29.0
7,43.0,35.63,27.0
8,43.0,36.07,27.0
9,43.0,36.44,27.0
10,43.0,36.75,27.0
11,43.0,36.2,26.0
12,43.0,36.08,29.0
13,43.0,36.47,30.0
14,43.0,36.36,31.0
15,43.0,36.33,30.0
16,43.0,36.56,29.0
17,43.0,35.79,27.0
18,43.0,36.02,29.0
19,43.0,36.21,29.0
20,43.0,36.46,29.0
21,43.0,36.06,28.0
22,43.0,36.69,28.0
23,43.0,36.29,30.0
24,43.0,36.13,26.0
25,43.0,36.23,31.0
26,43.0,36.8,29.0
27,43.0,36.48,30.0
28,43.0,36.8,30.0
29,44.0,36.36,27.0
30,44.0,36.75,25.0
31,44.0,36.9,30.0
32,44.0,36.93,28.0
33,44.0,36.43,30.0
34,44.0,36.43,27.0
35,44.0,37.22,31.0
36,44.0,37.3,27.0
37,44.0,36.97,30.0
38,44.0,36.86,28.0
39,44.0,37.03,31.0
40,44.0,37.09,31.0
41,44.0,37.04,30.0
42,44.0,37.4,31.0
43,44.0,37.7,29.0
44,44.0,37.76,33.0
45,44.0,37.46,30.0
46,44.0,37.9,28.0
47,44.0,37.46,28.0
48,44.0,37.68,28.0
49,44.0,37.92,29.0
50,44.0,38.15,30.0
51,44.0,37.95,29.0
52,44.0,37.99,32.0
53,44.0,37.8,30.0
54,44.0,38.43,29.0
55,44.0,38.67,27.0
56,44.0,38.85,26.0
57,44.0,38.96,31.0
58,44.0,39.28,32.0
59,44.0,39.14,28.0
60,44.0,39.4,31.0
61,44.0,39.23,32.0
62,44.0,38.59,32.0
63,44.0,39.53,31.0
64,44.0,39.36,33.0
65,44.0,39.74,31.0
66,44.0,40.09,33.0
67,44.0,40.82,33.0
68,44.0,40.67,35.0
69,44.0,40.38,33.0
70,44.0,40.99,35.0
71,45.0,41.1,36.0
