generation,best_fitness,avg_fitness,worst_fitness
0,40.0,34.75,28.0
1,40.0,35.13,26.0
2,41.0,35.81,29.0
3,41.0,35.32,26.0
4,41.0,35.57,26.0
5,41.0,35.9,28.0
6,41.0,35.74,30.0
7,41.0,36.15,30.0
8,41.0,36.36,26.0
9,42.0,36.38,30.0
10,42.0,36.0,30.0
11,42.0,35.75,28.0
12,42.0,35.47,29.0
13,42.0,35.51,27.0
14,42.0,35.27,28.0
15,42.0,34.67,27.0
16,42.0,34.94,29.0
17,42.0,35.36,27.0
18,42.0,35.84,24.0
19,42.0,36.04,26.0
20,42.0,36.32,26.0
21,42.0,36.82,28.0
22,42.0,36.69,28.0
23,42.0,36.32,29.0
24,42.0,36.8,29.0
25,42.0,36.99,30.0
26,42.0,37.18,29.0
27,42.0,37.51,30.0
28,42.0,37.43,29.0
29,42.0,37.18,27.0
30,42.0,37.17,29.0
31,42.0,37.43,32.0
32,42.0,37.06,26.0
33,42.0,36.97,31.0
34,42.0,37.56,31.0
35,42.0,37.94,32.0
36,43.0,37.79,32.0
37,43.0,37.5,24.0
38,43.0,37.54,29.0
39,43.0,37.35,24.0
40,43.0,37.9,30.0
41,43.0,37.56,30.0
42,43.0,37.35,31.0
43,43.0,36.93,31.0
44,43.0,37.05,29.0
45,43.0,37.42,29.0
46,43.0,37.4,30.0
47,43.0,37.4,30.0
48,43.0,38.01,32.0
49,43.0,38.19,29.0
50,43.0,38.39,30.0
51,43.0,38.71,30.0
52,43.0,38.77,26.0
53,43.0,38.72,26.0
54,43.0,39.26,33.0
55,43.0,39.4,34.0
56,43.0,40.08,35.0
57,43.0,39.81,34.0
58,43.0,39.77,35.0
59,43.0,39.93,33.0
60,43.0,39.59,33.0
61,43.0,40.09,35.0
62,43.0,39.86,34.0
63,43.0,39.97,34.0
64,43.0,40.14,34.0
65,43.0,40.48,34.0
66,43.0,40.51,33.0
67,43.0,40.54,33.0
68,43.0,40.6,33.0
69,43.0,40.76,34.0
70,43.0,40.61,33.0
71,43.0,41.03,32.0
72,43.0,40.97,34.0
73,44.0,41.19,35.0
74,44.0,41.13,36.0
75,44.0,41.4,36.0
76,44.0,41.36,36.0
77,44.0,41.18,36.0
78,44.0,41.01,36.0
79,44.0,41.05,35.0
80,44.0,41.1,34.0
81,44.0,41.22,35.0
82,44.0,41.19,34.0
83,44.0,41.04,34.0
84,44.0,40.87,34.0
85,44.0,41.23,33.0
86,44.0,40.96,36.0
87,44.0,41.15,32.0
88,44.0,41.14,34.0
89,44.0,41.1,35.0
90,44.0,41.23,36.0
91,44.0,41.12,34.0
92,44.0,41.26,30.0
93,44.0,41.48,37.0
94,44.0,41.57,37.0
95,44.0,41.33,36.0
96,44.0,41.27,37.0
97,44.0,41.21,37.0
98,44.0,41.06,37.0
99,44.0,41.12,34.0
100,44.0,41.18,34.0
101,44.0,41.53,34.0
102,44.0,41.47,34.0
103,44.0,41.3,33.0
104,44.0,41.63,35.0
105,44.0,41.33,36.0
106,44.0,41.16,36.0
107,44.0,40.67,35.0
108,44.0,40.53,34.0
109,44.0,40.52,34.0
110,44.0,40.96,34.0
111,44.0,41.23,34.0
112,44.0,40.95,32.0
113,44.0,41.2,34.0
114,44.0,41.23,36.0
115,44.0,41.26,35.0
116,44.0,40.92,34.0
117,44.0,40.8,34.0
118,44.0,40.82,31.0
119,44.0,40.29,31.0
120,44.0,40.34,31.0
121,44.0,40.38,33.0
122,44.0,40.47,34.0
123,44.0,40.35,34.0
124,44.0,40.31,28.0
125,44.0,40.45,32.0
126,44.0,40.73,31.0
127,44.0,40.63,31.0
128,44.0,40.79,34.0
129,44.0,40.98,35.0
130,44.0,41.28,35.0
131,44.0,41.1,36.0
132,44.0,41.11,32.0
133,44.0,41.33,34.0
134,44.0,41.77,36.0
135,44.0,41.67,35.0
136,44.0,41.64,37.0
137,44.0,41.58,37.0
138,44.0,41.73,37.0
139,44.0,42.04,38.0
140,44.0,42.02,39.0
141,44.0,42.01,38.0
142,44.0,42.0,37.0
143,44.0,42.17,36.0
144,44.0,41.98,37.0
145,44.0,41.87,37.0
146,44.0,41.72,37.0
147,44.0,41.3,36.0
148,44.0,41.23,37.0
149,44.0,41.49,37.0
150,44.0,41.36,36.0
151,44.0,40.91,32.0
152,44.0,40.69,32.0
153,44.0,40.51,34.0
154,44.0,40.59,34.0
155,44.0,40.45,34.0
156,44.0,40.24,34.0
157,44.0,40.25,35.0
158,44.0,40.66,35.0
159,44.0,40.55,35.0
160,44.0,41.08,36.0
161,44.0,41.13,36.0
162,44.0,40.98,36.0
163,44.0,41.24,36.0
164,44.0,41.18,35.0
165,44.0,41.21,35.0
166,44.0,41.32,35.0
167,44.0,41.36,35.0
168,44.0,41.16,35.0
169,44.0,41.11,35.0
170,44.0,41.28,37.0
171,44.0,41.14,36.0
172,44.0,41.35,37.0
173,44.0,41.65,37.0
174,44.0,41.51,34.0
175,44.0,41.25,33.0
176,44.0,41.06,33.0
177,44.0,41.11,35.0
178,44.0,41.11,33.0
179,44.0,41.23,37.0
180,44.0,41.18,36.0
181,44.0,41.29,36.0
182,44.0,41.49,36.0
183,44.0,41.25,36.0
184,44.0,41.36,34.0
185,44.0,40.89,32.0
186,44.0,40.91,36.0
187,44.0,40.9,36.0
188,44.0,40.94,36.0
189,44.0,41.15,36.0
190,44.0,40.99,35.0
191,44.0,41.17,35.0
192,44.0,41.27,33.0
193,44.0,41.28,33.0
194,44.0,41.68,35.0
195,44.0,41.33,37.0
196,44.0,41.36,34.0
197,44.0,41.34,35.0
198,44.0,41.14,34.0
199,44.0,41.31,34.0
200,44.0,41.53,32.0
201,44.0,41.65,33.0
202,44.0,41.13,33.0
203,44.0,41.27,33.0
204,44.0,41.14,33.0
205,44.0,41.24,35.0
206,44.0,41.23,35.0
207,44.0,41.37,35.0
208,44.0,41.11,35.0
209,44.0,41.12,33.0
210,44.0,41.51,31.0
211,44.0,41.32,34.0
212,44.0,41.48,34.0
213,44.0,41.74,35.0
214,44.0,41.53,35.0
215,44.0,41.27,35.0
216,44.0,41.48,32.0
217,44.0,41.98,37.0
218,44.0,41.57,37.0
219,44.0,41.56,36.0
220,44.0,41.48,36.0
221,44.0,41.14,35.0
222,44.0,40.9,34.0
223,44.0,40.74,33.0
224,44.0,40.82,34.0
225,44.0,40.78,33.0
226,44.0,40.95,32.0
227,44.0,40.87,36.0
228,44.0,40.91,35.0
229,44.0,41.27,36.0
230,44.0,41.52,35.0
231,44.0,41.56,36.0
232,44.0,41.5,37.0
233,44.0,41.35,35.0
234,44.0,41.32,32.0
